Date,JABAX
1993-07-08,3.286889419
1993-07-09,3.28965632
1993-07-12,3.286889419
1993-07-13,3.297965259
1993-07-14,3.303501807
1993-07-15,3.311810746
1993-07-16,3.309041099
1993-07-19,3.26750464
1993-07-20,3.256428799
1993-07-21,3.24811986
1993-07-22,3.242583313
1993-07-23,3.23704402
1993-07-26,3.24811986
1993-07-27,3.24811986
1993-07-28,3.253659153
1993-07-29,3.259198446
1993-07-30,3.256428799
1993-08-02,3.261965347
1993-08-03,3.259198446
1993-08-04,3.264734993
1993-08-05,3.261965347
1993-08-06,3.256428799
1993-08-09,3.261965347
1993-08-10,3.256428799
1993-08-11,3.253659153
1993-08-12,3.256428799
1993-08-13,3.256428799
1993-08-16,3.261965347
1993-08-17,3.270274286
1993-08-18,3.281350126
1993-08-19,3.275810834
1993-08-20,3.281350126
1993-08-23,3.27858048
1993-08-24,3.284119773
1993-08-25,3.27858048
1993-08-26,3.275810834
1993-08-27,3.27858048
1993-08-30,3.275810834
1993-08-31,3.273043932
1993-09-01,3.27858048
1993-09-02,3.284119773
1993-09-03,3.28965632
1993-09-07,3.284119773
1993-09-08,3.259198446
1993-09-09,3.259198446
1993-09-10,3.270274286
1993-09-13,3.270274286
1993-09-14,3.250889507
1993-09-15,3.245352959
1993-09-16,3.242583313
1993-09-17,3.250889507
1993-09-20,3.250889507
1993-09-21,3.245352959
1993-09-22,3.256428799
1993-09-23,3.264734993
1993-09-24,3.275810834
1993-09-27,3.295195613
1993-09-28,3.297965259
1993-09-29,3.306271453
1993-09-30,3.306271453
1993-10-01,3.317404937
1993-10-04,3.320188308
1993-10-05,3.325752305
1993-10-06,3.334102418
1993-10-07,3.33966916
1993-10-08,3.359150012
1993-10-11,3.361933384
1993-10-12,3.370280752
1993-10-13,3.367500126
1993-10-14,3.381414236
1993-10-15,3.395328346
1993-10-18,3.398111717
1993-10-19,3.370280752
1993-10-20,3.373064123
1993-10-21,3.386980978
1993-10-22,3.395328346
1993-10-25,3.384197607
1993-10-26,3.381414236
1993-10-27,3.386980978
1993-10-28,3.395328346
1993-10-29,3.403678459
1993-11-01,3.40646183
1993-11-02,3.40646183
1993-11-03,3.386980978
1993-11-04,3.359150012
1993-11-05,3.364716755
1993-11-08,3.367500126
1993-11-09,3.373064123
1993-11-10,3.398111717
