Date,TRBCX
1994-05-05,8.185895088
1994-05-06,8.119583092
1994-05-09,8.031169511
1994-05-10,8.082739874
1994-05-11,8.031169511
1994-05-12,8.06063829
1994-05-13,8.090114313
1994-05-16,8.068005484
1994-05-17,8.134317481
1994-05-18,8.215371111
1994-05-19,8.266941475
1994-05-20,8.237472696
1994-05-23,8.215371111
1994-05-24,8.252207085
1994-05-25,8.25957428
1994-05-26,8.25957428
1994-05-27,8.274315913
1994-05-31,8.25957428
1994-06-01,8.274315913
1994-06-02,8.274315913
1994-06-03,8.311151887
1994-06-06,8.289050303
1994-06-07,8.281683108
1994-06-08,8.252207085
1994-06-09,8.24483989
1994-06-10,8.252207085
1994-06-13,8.274315913
1994-06-14,8.311151887
1994-06-15,8.303784692
1994-06-16,8.296417498
1994-06-17,8.252207085
1994-06-20,8.185895088
1994-06-21,8.119583092
1994-06-22,8.141684676
1994-06-23,8.075372679
1994-06-24,7.979591903
1994-06-27,8.0459039
1994-06-28,8.023802316
1994-06-29,8.06063829
1994-06-30,7.986959098
1994-07-01,8.038536705
1994-07-05,8.023802316
1994-07-06,8.031169511
1994-07-07,8.075372679
1994-07-08,8.082739874
1994-07-11,8.068005484
1994-07-12,8.06063829
1994-07-13,8.082739874
1994-07-14,8.171160699
1994-07-15,8.171160699
1994-07-18,8.178527894
1994-07-19,8.156426309
1994-07-20,8.134317481
1994-07-21,8.126950286
1994-07-22,8.141684676
1994-07-25,8.149059115
1994-07-26,8.126950286
1994-07-27,8.112215897
1994-07-28,8.126950286
1994-07-29,8.185895088
1994-08-01,8.215371111
1994-08-02,8.222738306
1994-08-03,8.222738306
1994-08-04,8.171160699
1994-08-05,8.149059115
1994-08-08,8.163793504
1994-08-09,8.178527894
1994-08-10,8.200629478
1994-08-11,8.200629478
1994-08-12,8.24483989
1994-08-15,8.230105501
1994-08-16,8.296417498
1994-08-17,8.333253471
1994-08-18,8.325886277
1994-08-19,8.347995105
1994-08-22,8.362729494
1994-08-23,8.392198273
1994-08-24,8.443775881
1994-08-25,8.451143075
1994-08-26,8.524829511
1994-08-29,8.532196706
1994-08-30,8.55429829
1994-08-31,8.55429829
1994-09-01,8.5395639
1994-09-02,8.502720683
1994-09-06,8.510087877
1994-09-07,8.510087877
1994-09-08,8.524829511
1994-09-09,8.45851027
1994-09-12,8.421674296
1994-09-13,8.443775881
1994-09-14,8.473251904
1994-09-15,8.5395639
1994-09-16,8.495353488
1994-09-19,8.480619098
1994-09-20,8.362729494
