Date,PTTRX
3/15/1988,1.1137344
3/16/1988,1.110446204
3/17/1988,1.112638335
3/18/1988,1.109349107
3/21/1988,1.104964846
3/22/1988,1.10386878
3/23/1988,1.10386878
3/24/1988,1.102772715
3/25/1988,1.104964846
3/28/1988,1.10167665
3/29/1988,1.102772715
3/30/1988,1.10167665
3/31/1988,1.108121968
4/4/1988,1.109225258
4/5/1988,1.104811066
4/6/1988,1.108121968
4/7/1988,1.108121968
4/8/1988,1.112536159
4/11/1988,1.110329579
4/12/1988,1.111432869
4/13/1988,1.111432869
4/14/1988,1.105914356
4/15/1988,1.101499133
4/18/1988,1.099292553
4/19/1988,1.098188231
4/20/1988,1.097084942
4/21/1988,1.098188231
4/22/1988,1.100395843
4/25/1988,1.100395843
4/26/1988,1.100395843
4/27/1988,1.099292553
4/28/1988,1.097084942
4/29/1988,1.10243729
5/2/1988,1.100217294
5/3/1988,1.101327808
5/4/1988,1.101327808
5/5/1988,1.101327808
5/6/1988,1.099106779
5/9/1988,1.097997297
5/10/1988,1.097997297
5/11/1988,1.096886783
5/12/1988,1.096886783
5/13/1988,1.099106779
5/16/1988,1.097997297
5/17/1988,1.093556272
5/18/1988,1.090225761
5/19/1988,1.091335243
5/20/1988,1.089115247
5/23/1988,1.088004732
5/24/1988,1.089115247
5/25/1988,1.090225761
5/26/1988,1.090225761
5/27/1988,1.089115247
5/31/1988,1.097052947
6/1/1988,1.104872991
6/2/1988,1.103756284
6/3/1988,1.108225175
6/6/1988,1.108225175
6/7/1988,1.107107437
6/8/1988,1.110459621
6/9/1988,1.109341882
6/10/1988,1.110459621
6/13/1988,1.110459621
6/14/1988,1.119396371
6/15/1988,1.118279665
6/16/1988,1.112693035
6/17/1988,1.10599073
6/20/1988,1.10599073
6/21/1988,1.104872991
6/22/1988,1.110459621
6/23/1988,1.111576328
6/24/1988,1.11492748
6/27/1988,1.111576328
6/28/1988,1.113810773
6/29/1988,1.112693035
6/30/1988,1.123295557
7/1/1988,1.124419488
7/5/1988,1.124419488
7/6/1988,1.122170593
7/7/1988,1.121046662
7/8/1988,1.116548872
7/11/1988,1.118797767
7/12/1988,1.117672804
7/13/1988,1.114299978
7/14/1988,1.113176046
7/15/1988,1.115424941
7/18/1988,1.115424941
7/19/1988,1.114299978
7/20/1988,1.113176046
7/21/1988,1.112051083
7/22/1988,1.114299978
7/25/1988,1.115424941
7/26/1988,1.115424941
7/27/1988,1.113176046
7/28/1988,1.113176046
7/29/1988,1.121844457
8/1/1988,1.122976645
8/2/1988,1.126373209
8/3/1988,1.126373209
8/4/1988,1.128636552
8/5/1988,1.124108833
8/8/1988,1.125241021
8/9/1988,1.122976645
8/10/1988,1.11165683
8/11/1988,1.113920174
8/12/1988,1.113920174
8/15/1988,1.112789018
8/16/1988,1.113920174
8/17/1988,1.112789018
8/18/1988,1.113920174
8/19/1988,1.113920174
8/22/1988,1.113920174
8/23/1988,1.115052361
8/24/1988,1.115052361
8/25/1988,1.112789018
8/26/1988,1.113920174
8/29/1988,1.117316737
8/30/1988,1.118448925
8/31/1988,1.12727834
9/1/1988,1.12727834
9/2/1988,1.135257323
9/6/1988,1.13753718
9/7/1988,1.13753718
9/8/1988,1.13753718
9/9/1988,1.139817037
9/12/1988,1.138676593
9/13/1988,1.139817037
9/14/1988,1.14095645
9/15/1988,1.139817037
9/16/1988,1.139817037
9/19/1988,1.13753718
9/20/1988,1.13753718
9/21/1988,1.138676593
9/22/1988,1.13753718
9/23/1988,1.138676593
9/26/1988,1.13753718
9/27/1988,1.136396736
9/28/1988,1.135257323
9/29/1988,1.136396736
9/30/1988,1.148695991
10/3/1988,1.149843661
10/4/1988,1.148695991
10/5/1988,1.148695991
10/6/1988,1.149843661
10/7/1988,1.154433305
10/10/1988,1.153285636
10/11/1988,1.153285636
10/12/1988,1.15099133
10/13/1988,1.15099133
10/14/1988,1.152137967
10/17/1988,1.152137967
10/18/1988,1.153285636
10/19/1988,1.15099133
10/20/1988,1.15099133
10/21/1988,1.152137967
10/24/1988,1.15099133
10/25/1988,1.15099133
10/26/1988,1.153285636
10/27/1988,1.156728643
10/28/1988,1.157876312
10/31/1988,1.166850217
11/1/1988,1.166850217
11/2/1988,1.165694291
11/3/1988,1.166850217
11/4/1988,1.161073685
11/7/1988,1.158762866
11/8/1988,1.157607972
11/9/1988,1.156452046
11/10/1988,1.155297153
11/11/1988,1.154141227
11/14/1988,1.155297153
11/15/1988,1.154141227
11/16/1988,1.152986333
11/17/1988,1.149520621
11/18/1988,1.148365727
11/21/1988,1.148365727
11/22/1988,1.147209801
11/23/1988,1.146054908
11/25/1988,1.142589195
11/28/1988,1.143744088
11/29/1988,1.144898982
11/30/1988,1.156452046
12/1/1988,1.157616229
12/2/1988,1.151798413
12/5/1988,1.151798413
12/6/1988,1.157616229
12/7/1988,1.158779379
12/8/1988,1.157616229
12/9/1988,1.156452046
12/12/1988,1.155288896
12/13/1988,1.154125746
12/14/1988,1.150635263
12/15/1988,1.149472113
12/16/1988,1.150635263
12/19/1988,1.150635263
12/20/1988,1.154125746
12/21/1988,1.155288896
12/22/1988,1.155288896
12/23/1988,1.155288896
12/27/1988,1.152961564
12/28/1988,1.150635263
12/29/1988,1.151798413
12/30/1988,1.161629974
1/3/1989,1.156854556
1/4/1989,1.156854556
1/5/1989,1.154466331
1/6/1989,1.155660444
1/9/1989,1.155660444
1/10/1989,1.155660444
1/11/1989,1.155660444
1/12/1989,1.159241749
1/13/1989,1.164017167
1/16/1989,1.164017167
1/17/1989,1.164017167
1/18/1989,1.166405392
1/19/1989,1.166405392
1/20/1989,1.16521128
1/23/1989,1.166405392
1/24/1989,1.172373891
1/25/1989,1.17118081
1/26/1989,1.167598473
1/27/1989,1.168792585
1/30/1989,1.167598473
1/31/1989,1.176016089
2/1/1989,1.176016089
2/2/1989,1.177218458
2/3/1989,1.174812687
2/6/1989,1.174812687
2/7/1989,1.174812687
2/8/1989,1.176016089
2/9/1989,1.17120558
2/10/1989,1.167598473
2/13/1989,1.166396104
2/14/1989,1.165193734
2/15/1989,1.165193734
2/16/1989,1.165193734
2/17/1989,1.165193734
2/21/1989,1.165193734
2/22/1989,1.162788996
2/23/1989,1.159180857
2/24/1989,1.157978488
2/27/1989,1.159180857
2/28/1989,1.168596491
3/1/1989,1.167385865
3/2/1989,1.168596491
3/3/1989,1.171018774
3/6/1989,1.1722294
3/7/1989,1.171018774
3/8/1989,1.1722294
3/9/1989,1.1722294
3/10/1989,1.167385865
3/13/1989,1.167385865
3/14/1989,1.168596491
3/15/1989,1.168596491
3/16/1989,1.168596491
3/17/1989,1.160120046
3/20/1989,1.157697763
3/21/1989,1.156486105
3/22/1989,1.158908388
3/23/1989,1.160120046
3/27/1989,1.158908388
3/28/1989,1.160120046
3/29/1989,1.162541298
3/30/1989,1.163752956
3/31/1989,1.17414287
4/3/1989,1.17414287
4/4/1989,1.17414287
4/5/1989,1.17414287
4/6/1989,1.179024592
4/7/1989,1.175362784
4/10/1989,1.179024592
4/11/1989,1.175362784
4/12/1989,1.175362784
4/13/1989,1.175362784
4/14/1989,1.181465453
4/17/1989,1.180245538
4/18/1989,1.187568121
4/19/1989,1.186348207
4/20/1989,1.181465453
4/21/1989,1.183907346
4/24/1989,1.183907346
4/25/1989,1.18512726
4/26/1989,1.186348207
4/27/1989,1.188789067
4/28/1989,1.200469077
5/1/1989,1.195549169
5/2/1989,1.198009639
5/3/1989,1.199239874
5/4/1989,1.199239874
5/5/1989,1.204159783
5/8/1989,1.201699312
5/9/1989,1.198009639
5/10/1989,1.19308973
5/11/1989,1.196779404
5/12/1989,1.21153913
5/15/1989,1.210308895
5/16/1989,1.209079692
5/17/1989,1.21153913
5/18/1989,1.21153913
5/19/1989,1.215228803
5/22/1989,1.220148712
5/23/1989,1.221378947
5/24/1989,1.218919509
5/25/1989,1.217689274
5/26/1989,1.218919509
5/30/1989,1.218919509
5/31/1989,1.229682003
6/1/1989,1.229682003
6/2/1989,1.239598194
6/5/1989,1.243316766
6/6/1989,1.243316766
6/7/1989,1.243316766
6/8/1989,1.248275893
6/9/1989,1.254473513
6/12/1989,1.254473513
6/13/1989,1.249515417
6/14/1989,1.251994465
6/15/1989,1.245796845
6/16/1989,1.244556289
6/19/1989,1.243316766
