Date,VGTSX
1997-03-04,5.650186088
1997-03-05,5.650186088
1997-03-06,5.655811383
1997-03-07,5.700835872
1997-03-10,5.717717289
1997-03-11,5.667067505
1997-03-12,5.622048548
1997-03-13,5.627673844
1997-03-14,5.593911009
1997-03-17,5.605167131
1997-03-18,5.622048548
1997-03-19,5.548886521
1997-03-20,5.593911009
1997-03-21,5.565773469
1997-03-24,5.616417722
1997-03-25,5.655811383
1997-03-26,5.678323627
1997-03-27,5.667067505
1997-03-31,5.667067505
1997-04-01,5.582654887
1997-04-02,5.554517347
1997-04-03,5.537630399
1997-04-04,5.515123686
1997-04-07,5.532005103
1997-04-08,5.520748981
1997-04-09,5.503867564
1997-04-10,5.486986146
1997-04-11,5.441961658
1997-04-14,5.486986146
1997-04-15,5.526379808
1997-04-16,5.543261225
1997-04-17,5.571398765
1997-04-18,5.622048548
1997-04-21,5.610792426
1997-04-22,5.644560793
1997-04-23,5.644560793
1997-04-24,5.644560793
1997-04-25,5.610792426
1997-04-28,5.593911009
1997-04-29,5.627673844
1997-04-30,5.678323627
1997-05-01,5.717717289
1997-05-02,5.740229533
1997-05-05,5.768367073
1997-05-06,5.880922762
1997-05-07,5.886548057
1997-05-08,5.903429475
1997-05-09,5.954079259
1997-05-12,6.032866582
1997-05-13,6.055378826
1997-05-14,6.072260243
1997-05-15,6.083516365
1997-05-16,6.128540854
1997-05-19,6.100397783
1997-05-20,6.139791445
1997-05-21,6.139791445
1997-05-22,6.094772488
1997-05-23,6.134166149
1997-05-27,6.117284732
1997-05-28,6.139791445
1997-05-29,6.128540854
1997-05-30,6.049753531
1997-06-02,6.094772488
1997-06-03,6.111653905
1997-06-04,6.122910027
1997-06-05,6.145422271
1997-06-06,6.167934515
1997-06-09,6.235465716
1997-06-10,6.235465716
1997-06-11,6.263603256
1997-06-12,6.257972429
1997-06-13,6.263603256
1997-06-16,6.31425304
1997-06-17,6.274859378
1997-06-18,6.280484673
1997-06-19,6.308622213
1997-06-20,6.31425304
1997-06-23,6.319878335
1997-06-24,6.331134457
